Model,MAE,MSE,R2
LinearRegression,82657.9460589282,10549721686.161528,0.9146454505137888
RobustRegression,199465.55955429346,61664910393.24958,0.5010881990728171
RidgeRegression,82659.67244409773,10549745186.670176,0.91464526037841
LassoRegression,82657.94662172228,10549717660.356377,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.559587,0.8779812271613102
PolynomialRegression,82894.44703007131,10604968406.606813,0.9141984663113161
SGDRegressor,1.303386144269021e+18,1.729959706370047e+36,-1.3996571261230985e+25
ANN,199255.23797063116,61446776046.05086,0.5028530569038097
RandomForest,99090.33384507611,15204777052.506098,0.8769828310203376
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
